product_name,product_price_whole
Celular Apple iPhone 11 Pro 64gb / Tela 5.8'' / 12MP / iOS 13,"6.226,87"
Smartphone Xiaomi Redmi Note 8 64gb Moonlight (Branco),"1.486,90"
"Apple iPhone 8 Cinza Espacial 64GB com 4,7"", iOS 11, Processador A11, 4G, Câmera de 12 MP Desbloqueado",
Celular Apple iPhone 11 64gb / Tela 6.1'' / 12MP / iOS 13,"7.488,00"
Novo Iphone Xr 64Gb Branco Ios 12 4G ...,"3.874,98"
"Iphone 11 Pro Max Apple Prata, 512gb Desbloqueado - Mwhp2bz/a",
"iPhone 8 Apple Dourado com Tela de 4,7"", 4G, 64 GB e Câmera de 12 MP","3.499,90"
"iphone X Apple Cinza Espacial, Tela de 5,8"", 4G, 256 GG, Câmera de 12 MP","5.099,90"
"Iphone Xr Apple Preto, 64gb Desbloqueado - Mry42br/a",
"iPhone SE 64GB Black Novo Desbloqueado Tela 4,7"" Apple","3.047,00"
"Iphone 8 Plus Apple Cinza Espacial, 128gb Desbloqueado - Mx242br/a","5.661,00"
iPhone 7 32GB Preto Matte 4G Tela 4.7  Retina - Cam. 12MP + Selfie 7MP iOS 11 - Apple,
"IPHONE 11 PRETO, TELA DE 6,1"", 4G, 64 GB E CÂMERA DE 12 MP",
"Iphone 11 Apple Preto, 128gb Desbloqueado - Mwm02br/a","5.222,38"
"Iphone 11 Apple Preto, 128gb Desbloqueado - Mwm02bz/a","5.899,90"
Capa Anti Shock Reforçada iPhone SE 2020 + Película Vidro 3D + Kit Aplicação,"31,50"
"Iphone 11 Pro Max Apple Dourado, 512gb Desbloqueado - Mwhq2bz/a","8.974,98"
Iphone 6 64Gb Cinza Espacial,
iPhone XS 64GB Dourado (Dourado),
"Iphone Xr Apple Branco, 128gb Desbloqueado - Mryd2br/a",
"IPHONE 11 BRANCO, TELA DE 6,1"", 4G, 64 GB E CÂMERA DE 12 MP",
"Iphone 11 Pro Apple Verde meia-noite, 256gb Desbloqueado - Mwcc2bz/a","6.935,00"
Iphone 8 64gb Cinza Espacial Novo Lacrado,"3.058,98"
"Capa para iPhone X/XS, Spigen, Rugged Armor, 057CS22125, Matte Black",
